system:index,month,ndvi,year,.geo
0,1.0,0.2780213812612211,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2.0,0.261392856854279,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,3.0,0.24436176394098724,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,4.0,0.23091874947589514,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,5.0,0.23495961673796054,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,6.0,0.24994428198384705,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,7.0,0.3499571014051296,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,8.0,0.36431508152075603,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,9.0,0.3769522319823489,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,10.0,0.36789719541164945,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,11.0,0.33505272230078526,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,12.0,0.30858369715754774,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1.0,0.29132528761716575,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,2.0,0.2648370637335375,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,3.0,0.2504644411128349,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,4.0,0.2282024293586392,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,5.0,0.23542305198477975,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,6.0,0.21988390223781198,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,7.0,0.28513553346740533,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,8.0,0.3236400621833606,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,9.0,0.364435260905309,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,10.0,0.3828520337580124,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,11.0,0.34377305132960967,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,12.0,0.31139219958537473,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,1.0,0.28934963707210004,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,2.0,0.27114014874551273,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,3.0,0.24830060894401576,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,4.0,0.24466262927759472,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,5.0,0.2401361791828949,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,6.0,0.26142067753181303,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,7.0,0.282565141015655,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,8.0,0.31442515329707715,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,9.0,0.3368864079651337,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,10.0,0.330426067086442,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,11.0,0.32866585463674153,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,12.0,0.3199121560665741,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,1.0,0.29475688759900637,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,2.0,0.28561085640606915,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,3.0,0.26143360446150216,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,4.0,0.2357406206010809,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,5.0,0.21350335148324998,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,6.0,0.19660659088012628,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,7.0,0.30794224852688357,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,8.0,0.35940954322147645,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,9.0,0.3562856350513649,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,10.0,0.3472695344664786,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,11.0,0.3332401544428256,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,12.0,0.3014470238436137,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,1.0,0.276476508454489,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,2.0,0.2626634173721837,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,3.0,0.2523770522418673,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,4.0,0.23750248201945093,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,5.0,0.22100195254370728,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,6.0,0.2137550103085387,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
